#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50  37  3.4  4.4  2.36 12.12  9.18 293 1020.6  12.2  11.5 999.0 99.0 99.00
2012 01 01 00 50 324  4.1  5.9  2.39 11.43  9.02 287 1021.3  12.7  11.4 999.0 99.0 99.00
2012 01 01 01 50 344  2.9  4.1  2.25 10.81  8.70 289 1020.7  11.6  11.4 999.0 99.0 99.00
2012 01 01 02 50  96  4.8  7.0  2.44 12.90  8.75 284 1020.7  13.1  11.3 999.0 99.0 99.00
2012 01 01 03 50  64  6.6  8.0  2.20 12.12  7.83 300 1020.4  13.7  11.3 999.0 99.0 99.00
2012 01 01 04 50  90  6.2  8.7  2.26 11.43  7.79 295 1020.7  13.5  11.4 999.0 99.0 99.00
2012 01 01 05 50  62  5.9  7.2  2.37 12.12  8.55 287 1020.6  13.1  11.4 999.0 99.0 99.00
2012 01 01 06 50  64  9.1 10.6  2.19 12.90  8.65 275 1020.4  13.1  11.4 999.0 99.0 99.00
2012 01 01 07 50  69  5.8  7.1  2.25 12.12  8.40 282 1020.6  13.2  11.4 999.0 99.0 99.00
2012 01 01 08 50  80  6.9  8.9  2.03 12.90  8.27 292 1020.3  13.1  11.5 999.0 99.0 99.00
2012 01 01 09 50  87  8.6 10.6  2.19 12.90  7.71 290 1019.8  12.7  11.5 999.0 99.0 99.00
2012 01 01 10 50  79 11.1 14.1  2.16 12.12  7.15 285 1019.7  12.9  11.5 999.0 99.0 99.00
2012 01 01 11 50  81 10.1 13.3  2.17 12.90  6.62 288 1019.6  12.8  11.5 999.0 99.0 99.00
2012 01 01 12 50  81 12.7 15.6  2.01 12.12  5.99 304 1019.0  12.7  11.4 999.0 99.0 99.00
2012 01 01 13 50  81 11.5 15.0  2.14 12.90  6.17 277 1019.0  12.3  11.2 999.0 99.0 99.00
2012 01 01 14 50  86 11.6 14.5  1.77 12.90  5.76 285 1019.4  12.2  11.2 999.0 99.0 99.00
2012 01 01 15 50  83  9.4 11.2  1.65 12.90  5.57 274 1020.2  12.0  11.2 999.0 99.0 99.00
